Area,Total population,Young,Adults,Elderly,Populated squares,Mean X,Mean Y,Mean Z
Akaa,16475,4438,8404,3633,216,0.316751474367813,0.204047505148348,0.54153560193719
Alajärvi,9562,2695,4354,2513,365,0.285566367464132,0.192026363145227,0.557976372797304
Alavieska,2519,779,1160,580,101,0.257795311570521,0.193713673492357,0.60072075814406
Alavus,11468,3192,5285,2991,581,0.295428516105098,0.189704737455409,0.540293022714858
Asikkala,8083,1773,3791,2519,389,0.279433224504171,0.253605076202108,0.672023454247654
Askola,4943,1477,2558,908,169,0.288093824500545,0.26154767452457,0.672156859557158
Aura,3941,1140,2078,723,85,0.347480042859049,0.167680406421814,0.434602385883414
Brändö,445,77,220,148,51,0.371480464807298,0.114745261226213,0.295130255110332
Eckerö,952,207,512,233,61,0.386289108284307,0.060583703096959,0.154939231278356
Enonkoski,1361,249,617,495,169,0.180647045918243,0.312408250008824,0.865673244769404
Enontekiö,1838,379,979,480,145,0.19890631261137,0.137395820266241,0.566525701123166
Espoo,289731,93041,156336,40354,305,0.313879655686217,0.239435480597212,0.606496561791164
Eura,11632,2984,5562,3086,353,0.345258291558925,0.150672680146926,0.399963333747899
Eurajoki,9402,2520,4585,2297,307,0.348188964487418,0.136727215840098,0.365490423005118
Evijärvi,2425,630,1152,643,136,0.284819592900696,0.179637317775809,0.533442512517028
Finström,2593,729,1321,543,117,0.383668951098447,0.074143845717775,0.189736408295598
Forssa,16901,3942,8032,4927,187,0.326375606496603,0.200571554721536,0.523574587127947
Föglö,531,123,253,155,68,0.384093665239988,0.092342207958892,0.233752619661107
Geta,496,128,264,104,50,0.382021842399464,0.07107465758566,0.182908767244169
Haapajärvi,7010,2152,3267,1591,212,0.246587969969023,0.219815175109028,0.665407844818188
Haapavesi,6758,2195,3095,1468,259,0.240426604549466,0.216497427176259,0.669136688947565
Hailuoto,959,183,423,353,53,0.237457516998537,0.19461149333268,0.633868419512787
Halsua,1127,265,492,370,79,0.271715874647073,0.197111306702254,0.587185077760516
Hamina,20111,4538,9955,5618,305,0.244871908521258,0.301267660095261,0.77598655271759
Hammarland,1583,428,823,332,98,0.385474238903305,0.066388041718236,0.16972435141688
Hankasalmi,4875,1122,2326,1427,433,0.242748409217778,0.260570442439305,0.731659714591754
Hanko,8199,1724,3967,2508,65,0.355233612857013,0.184736973730099,0.46137433883753
Harjavalta,6931,1593,3230,2108,76,0.341200724092044,0.15170159328898,0.406263922209788
Hartola,2697,438,1259,1000,303,0.262792045331515,0.260869232654256,0.704481333739748
Hattula,9422,2605,4817,2000,226,0.307726303092947,0.221506204726909,0.58420001570109
Hausjärvi,8260,2204,4384,1672,310,0.30043418045223,0.239758100962683,0.623724772329711
Heinola,18667,3826,8834,6007,350,0.26753544859365,0.265440314674516,0.70431680594383
Heinävesi,3254,554,1512,1188,430,0.184966034743597,0.302450857663223,0.853036835791381
Helsinki,653835,175714,372121,106000,230,0.307723505275707,0.246938084370108,0.625849961964102
Hirvensalmi,2136,395,1015,726,298,0.243217152450111,0.277462424422354,0.75193488048963
Hollola,23410,6310,11691,5409,541,0.283568612870869,0.253721651327608,0.666748223539879
Honkajoki,1620,337,843,440,114,0.326918962423945,0.153249023862602,0.424445540220541
Huittinen,10044,2461,4834,2749,342,0.335998055190804,0.170166325147369,0.45180557969386
Humppila,2184,516,1082,586,121,0.329256854741855,0.191817248562666,0.50337854738919
Hyrynsalmi,2271,364,1049,858,254,0.168688813456286,0.26442234194069,0.842854781895362
Hyvinkää,46470,12660,24089,9721,224,0.304122649101043,0.23955662437076,0.618779183348636
Hämeenkyrö,10404,2803,5255,2346,345,0.319308295045896,0.183507320754707,0.498249978124565
Hämeenlinna,67633,17861,33282,16490,1043,0.305909010983079,0.225416961830185,0.593138967566298
Ii,9844,3326,4600,1918,323,0.221810519025632,0.202944032526438,0.675002530158455
Iisalmi,21368,5628,10462,5278,575,0.210537674047442,0.259575618662034,0.77662723954429
Iitti,6711,1535,3238,1938,408,0.264482012701617,0.276205616046553,0.722242972574194
Ikaalinen,6942,1610,3261,2071,376,0.319238978904475,0.178060387513518,0.487094536041025
Ilmajoki,12269,3778,5982,2509,274,0.309014632056527,0.160160205218,0.460141088758566
Ilomantsi,4857,731,2316,1810,470,0.119401212371938,0.328010880951469,0.93960585672084
Imatra,26508,5878,12969,7661,128,0.190884374498217,0.325150964632499,0.862370954965716
Inari,6907,1451,3793,1663,414,0.146863370633311,0.18678839514682,0.785807926684779
Ingå,5386,1349,2754,1283,282,0.331363359114946,0.21824519784872,0.550020405377177
Isojoki,1951,414,937,600,144,0.32902819012165,0.142774329624467,0.398043701188581
Isokyrö,4522,1184,2157,1181,194,0.307818297499094,0.151618145317425,0.44185261969957
Janakkala,16413,4328,8318,3767,55,0.290271552028929,0.158976417320529,0.48035577103372
Joensuu,76850,23487,37512,15851,385,0.304674221709374,0.231131980061201,0.604377879965448
Jokioinen,5133,1289,2557,1287,1157,0.150626724114809,0.317117109251621,0.903164534372768
Jomala,5233,1655,2850,728,160,0.329037180418296,0.196323461232995,0.51238305774528
Joroinen,4767,1047,2379,1341,125,0.385971869178114,0.073232821081772,0.186408675959495
Joutsa,4377,769,2005,1603,366,0.209888547153413,0.291236719973584,0.811247513344584
Juuka,4606,799,2227,1580,422,0.257444118603277,0.260713459991762,0.711526065781278
Juupajoki,1844,419,876,549,487,0.162974886389395,0.298519069515866,0.877614425169265
Juva,6116,1227,2847,2042,126,0.294488165417286,0.216825809285661,0.592898722002817
Jyväskylä,142400,46478,71428,24494,622,0.212513913558706,0.296543999809007,0.812765421531005
Jämijärvi,1739,417,814,508,845,0.260182868240669,0.246099172642493,0.687156610551445
Jämsä,20182,4599,9608,5975,137,0.32421309848503,0.16632175811244,0.45643507049387
Järvenpää,43711,12978,23289,7444,810,0.278691241970173,0.234829781434433,0.644306517684411
Kaarina,33937,9720,17532,6685,40,0.300851589850834,0.247848119437249,0.635840483494459
Kaavi,2893,567,1371,955,164,0.354220693663188,0.162465150442866,0.416889238525346
Kajaani,36709,10655,18041,8013,278,0.182934045388758,0.292280933151769,0.847587527514498
Kalajoki,12373,3571,5831,2971,482,0.19225447463599,0.258302084299923,0.802123038120393
Kangasala,31868,9502,16219,6147,272,0.263828708730485,0.184425570468043,0.572906137353688
Kangasniemi,5356,1041,2446,1869,440,0.306571379756187,0.209823231956312,0.564748406903872
Kankaanpää,11286,2856,5552,2878,583,0.242213732498131,0.269737850606763,0.743998254969892
Kannonkoski,1339,284,607,448,327,0.328747360166543,0.157824495310728,0.432777886242149
Kannus,5464,1655,2592,1217,163,0.258951604899963,0.227477321865118,0.659961047350124
Karijoki,1245,235,601,409,132,0.268351320033367,0.187367337141518,0.572467513011162
Karkkila,8714,2198,4368,2148,69,0.328151816901713,0.135531031379095,0.381722314974124
Karstula,3949,862,1817,1270,163,0.319403729231706,0.221214030411144,0.569359082991975
Karvia,2342,504,1086,752,291,0.269967438762431,0.216804175398204,0.626129430095681
Kaskinen,1246,202,556,488,195,0.319502368106608,0.16275011967467,0.453891096111462
Kauhajoki,13184,3464,6359,3361,6,0.331973375752773,0.121616833565017,0.343988486894953
Kauhava,15726,4043,7407,4276,408,0.320180575387603,0.150027321503706,0.424283763853375
Kauniainen,9797,3085,4663,2049,589,0.295670499167994,0.168507420133775,0.495094301711906
Kaustinen,4261,1254,2079,928,5,0.313653189007165,0.239083134692492,0.606218010446527
Keitele,2202,414,1042,746,94,0.277844071316168,0.184358278005124,0.552869658089819
Kemi,20707,5231,10138,5338,221,0.234460771422728,0.247739695788621,0.726281962032743
Kemijärvi,7274,1198,3388,2688,65,0.228573035301978,0.184426594035237,0.62794092789411
Keminmaa,8079,2208,3982,1889,332,0.170135185548075,0.217103547527045,0.787057230649502
Kimitoön,6640,1427,3093,2120,124,0.227798926510736,0.183009756760829,0.6262988502048
Kempele,18355,6616,9039,2700,77,0.226121360129285,0.210862901493677,0.681996612584855
Kerava,36756,10688,19319,6749,29,0.30183838304527,0.248814647026008,0.636074715788832
Keuruu,9605,2099,4435,3071,505,0.282500779698956,0.219167252263186,0.61292417489757
Kihniö,1865,383,920,562,168,0.309897301386914,0.179608230358258,0.501433527967081
Kinnula,1620,433,701,486,418,0.35679497512475,0.170759411200952,0.431690460031803
Kirkkonummi,39586,12429,21070,6087,94,0.259148312388408,0.216575377927157,0.641250921215305
Kitee,10136,1930,4840,3366,332,0.320485634689292,0.231554366104331,0.585636458964683
Kittilä,6453,1620,3544,1289,791,0.147729169267696,0.329370493400333,0.912323803364027
Kiuruvesi,7998,1935,3788,2275,359,0.194069143967276,0.16899976397348,0.656585755237465
Kivijärvi,1096,217,471,408,650,0.222841384455772,0.246770487576628,0.742139991952387
Kokemäki,7103,1583,3450,2070,116,0.260973244478237,0.220833527490761,0.645944559765596
Kokkola,47681,15058,22611,10012,323,0.339070105347505,0.158642464759317,0.423778139320658
Kolari,3846,894,1993,959,496,0.28044719419047,0.170229345787529,0.518830041208434
Konnevesi,2627,557,1234,836,298,0.210456826004517,0.158061383533822,0.600489772676611
Kontiolahti,14821,4732,7740,2349,300,0.242455245539978,0.253876141595842,0.723158773962381
Korsnäs,2077,528,980,569,420,0.15058131664448,0.315232143730118,0.90230618501684
Koski Tl,2308,519,1048,741,424,0.312714138329316,0.134116209187488,0.394105120685279
Kotka,52126,12930,25918,13278,78,0.324201207647055,0.121457556408406,0.350827854025035
Kouvola,82113,19516,40850,21747,149,0.338043083892426,0.186075666818391,0.482217552480632
Kristinestad,6486,1313,2965,2208,174,0.253206778386858,0.296297967654195,0.76021759543817
Kronoby,6428,1820,3054,1554,1455,0.254537009187742,0.286352709675569,0.747358290511995
Kuhmo,8190,1483,3910,2797,241,0.332270219436048,0.128438100190826,0.360535527749249
Kuhmoinen,2206,342,947,917,268,0.282599079237589,0.173454325246939,0.522953206497895
Kumlinge,314,51,155,108,723,0.150766151848836,0.285621076421004,0.884260636519891
Kuopio,119282,35116,60367,23799,256,0.282460297566835,0.239058023847101,0.646004085587483
Kuortane,3551,851,1623,1077,40,0.376861348380196,0.104606230359389,0.267461908198355
Kurikka,20678,5155,9697,5826,2270,0.205977026930634,0.278093384848994,0.803460703686639
Kustavi,949,150,457,342,186,0.294080867609892,0.185129136782596,0.532734710793902
Kuusamo,15134,3680,7574,3880,808,0.313577059840328,0.1569525128333,0.447322490330437
Kyyjärvi,1313,311,588,414,116,0.365459963428987,0.126628882267796,0.327386102388662
Kärkölä,4368,1016,2231,1121,852,0.145087814304135,0.24990177807586,0.864734285998224
Kärsämäki,2576,756,1159,661,94,0.271592213481684,0.209750742734679,0.611217495601069
Kökar,232,43,110,79,194,0.29103864060529,0.248743770853295,0.649699401711201
Lahti,119823,32569,59569,27685,174,0.234485004085408,0.227322149278195,0.696020476402858
Laihia,8017,2326,3987,1704,26,0.381847734448263,0.109608778041012,0.275904681773167
Laitila,8588,2329,4297,1962,404,0.279058954513919,0.259292526431077,0.680653721032311
Lapinjärvi,2606,615,1261,730,189,0.311980028589338,0.143758070823621,0.41849116125919
Lapinlahti,9485,2347,4676,2462,258,0.354902965517536,0.138216347141629,0.362891320530998
Lappajärvi,2996,679,1353,964,185,0.271458521319379,0.276048767804432,0.712980474422718
Lappeenranta,72634,20424,36018,16192,677,0.205582167994404,0.26824059045167,0.793599959338628
Lapua,14278,4134,6897,3247,135,0.285080932814823,0.185257223192214,0.5448910285386
Laukaa,18903,6066,9301,3536,801,0.208859052388765,0.316869863370003,0.834875357138739
Lemi,2971,771,1480,720,307,0.298200721813591,0.171641282014947,0.498825683403606
Lemland,2053,638,1076,339,73,0.287794939398735,0.160099602853352,0.486138784494773
Lempäälä,23523,7899,11945,3679,492,0.253513887058537,0.249664066108217,0.701612855271312
Leppävirta,9454,2030,4684,2740,172,0.219675843483477,0.309245088710672,0.815218325523196
Lestijärvi,719,169,329,221,95,0.386504969641012,0.078301068149955,0.198549116068437
Lieksa,10884,1907,5192,3785,215,0.314573680538945,0.201544751782766,0.539464183542453
Lieto,19994,6008,10364,3622,625,0.207485691126847,0.286229982097073,0.809571010562336
Liminka,10191,4586,4629,976,71,0.262164739609398,0.208057942844454,0.621607855023883
Liperi,12084,3321,6297,2466,660,0.142634560837126,0.306464224412152,0.906546787008722
Lohja,45965,12437,23118,10410,283,0.351428192191527,0.164483233707744,0.423897650285384
Loimaa,15875,3770,7606,4499,143,0.229090798375457,0.210167539934434,0.676012839815324
Loppi,7828,2060,3904,1864,550,0.162224769348081,0.311748203980841,0.887020935330156
Loviisa,14772,3308,7427,4037,802,0.32766146846144,0.217260961502222,0.552594795659643
Luhanka,690,102,313,275,645,0.33653920095704,0.18053240156882,0.472688696933198
